date,network,daypart,viewers
201406,B,"S,Su 6:00 AM - 8:00 AM",0
201406,C,"S,Su 6:00 AM - 8:00 AM",287
201406,D,"S,Su 6:00 AM - 8:00 AM",138
201406,E,"S,Su 6:00 AM - 8:00 AM",0
201407,A,"S,Su 8:00 AM - 1:00 PM",218
201407,B,"S,Su 8:00 AM - 1:00 PM",366
201407,C,"S,Su 8:00 AM - 1:00 PM",875
201407,D,"S,Su 8:00 AM - 1:00 PM",142
201407,E,"S,Su 8:00 AM - 1:00 PM",394
201407,A,"S,Su 1:00 PM - 8:00 PM",339
201407,B,"S,Su 1:00 PM - 8:00 PM",525
201407,C,"S,Su 1:00 PM - 8:00 PM",1269
201407,D,"S,Su 1:00 PM - 8:00 PM",211
201407,E,"S,Su 1:00 PM - 8:00 PM",602
201407,A,"M,T,W,R,F 6:00 AM - 10:00 AM",120
201407,B,"M,T,W,R,F 6:00 AM - 10:00 AM",208
201407,C,"M,T,W,R,F 6:00 AM - 10:00 AM",232
201407,D,"M,T,W,R,F 6:00 AM - 10:00 AM",157
201407,E,"M,T,W,R,F 6:00 AM - 10:00 AM",158
201407,A,"M,T,W,R,F 10:00 AM - 1:00 PM",137
201407,B,"M,T,W,R,F 10:00 AM - 1:00 PM",275
201407,C,"M,T,W,R,F 10:00 AM - 1:00 PM",473
201407,D,"M,T,W,R,F 10:00 AM - 1:00 PM",177
201407,E,"M,T,W,R,F 10:00 AM - 1:00 PM",282
201407,A,"M,T,W,R,F 1:00 PM - 4:00 PM",161
201407,B,"M,T,W,R,F 1:00 PM - 4:00 PM",315
201407,C,"M,T,W,R,F 1:00 PM - 4:00 PM",620
201407,D,"M,T,W,R,F 1:00 PM - 4:00 PM",127
201407,E,"M,T,W,R,F 1:00 PM - 4:00 PM",342
201407,A,"M,T,W,R,F 4:00 PM - 6:00 PM",204
201407,B,"M,T,W,R,F 4:00 PM - 6:00 PM",362
201407,C,"M,T,W,R,F 4:00 PM - 6:00 PM",657
201407,D,"M,T,W,R,F 4:00 PM - 6:00 PM",129
201407,E,"M,T,W,R,F 4:00 PM - 6:00 PM",358
201407,A,"M,T,W,R,F 6:00 PM - 8:00 PM",283
201407,B,"M,T,W,R,F 6:00 PM - 8:00 PM",503
201407,C,"M,T,W,R,F 6:00 PM - 8:00 PM",790
201407,D,"M,T,W,R,F 6:00 PM - 8:00 PM",177
201407,E,"M,T,W,R,F 6:00 PM - 8:00 PM",418
201407,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",620
201407,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",924
201407,C,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1338
201407,D,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",461
201407,E,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",817
201407,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",409
201407,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",540
201407,C,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",943
201407,D,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",291
201407,E,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",559
201407,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",224
201407,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",291
201407,C,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",432
201407,D,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",158
201407,E,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",295
201407,A,"S,Su 6:00 AM - 8:00 AM",121
201407,B,"S,Su 6:00 AM - 8:00 AM",0
201407,C,"S,Su 6:00 AM - 8:00 AM",266
201407,D,"S,Su 6:00 AM - 8:00 AM",123
201407,E,"S,Su 6:00 AM - 8:00 AM",0
201408,A,"S,Su 8:00 AM - 1:00 PM",207
201408,B,"S,Su 8:00 AM - 1:00 PM",433
201408,C,"S,Su 8:00 AM - 1:00 PM",863
201408,D,"S,Su 8:00 AM - 1:00 PM",128
201408,E,"S,Su 8:00 AM - 1:00 PM",361
201408,A,"S,Su 1:00 PM - 8:00 PM",279
201408,B,"S,Su 1:00 PM - 8:00 PM",696
201408,C,"S,Su 1:00 PM - 8:00 PM",1214
201408,D,"S,Su 1:00 PM - 8:00 PM",188
201408,E,"S,Su 1:00 PM - 8:00 PM",544
201408,A,"M,T,W,R,F 6:00 AM - 10:00 AM",109
201408,B,"M,T,W,R,F 6:00 AM - 10:00 AM",176
201408,C,"M,T,W,R,F 6:00 AM - 10:00 AM",199
201408,D,"M,T,W,R,F 6:00 AM - 10:00 AM",156
201408,E,"M,T,W,R,F 6:00 AM - 10:00 AM",159
201408,A,"M,T,W,R,F 10:00 AM - 1:00 PM",133
201408,B,"M,T,W,R,F 10:00 AM - 1:00 PM",312
201408,C,"M,T,W,R,F 10:00 AM - 1:00 PM",424
201408,D,"M,T,W,R,F 10:00 AM - 1:00 PM",134
201408,E,"M,T,W,R,F 10:00 AM - 1:00 PM",264
201408,A,"M,T,W,R,F 1:00 PM - 4:00 PM",172
201408,B,"M,T,W,R,F 1:00 PM - 4:00 PM",386
201408,C,"M,T,W,R,F 1:00 PM - 4:00 PM",566
201408,D,"M,T,W,R,F 1:00 PM - 4:00 PM",111
201408,E,"M,T,W,R,F 1:00 PM - 4:00 PM",343
201408,A,"M,T,W,R,F 4:00 PM - 6:00 PM",193
201408,B,"M,T,W,R,F 4:00 PM - 6:00 PM",470
201408,C,"M,T,W,R,F 4:00 PM - 6:00 PM",611
201408,D,"M,T,W,R,F 4:00 PM - 6:00 PM",89
201408,E,"M,T,W,R,F 4:00 PM - 6:00 PM",400
201408,A,"M,T,W,R,F 6:00 PM - 8:00 PM",275
201408,B,"M,T,W,R,F 6:00 PM - 8:00 PM",679
201408,C,"M,T,W,R,F 6:00 PM - 8:00 PM",749
201408,D,"M,T,W,R,F 6:00 PM - 8:00 PM",143
201408,E,"M,T,W,R,F 6:00 PM - 8:00 PM",422
201408,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",578
201408,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1249
